,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
70,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",359384,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
71,"Head & Heart (feat. MNEK)","Joel Corry",353979,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
72,Conversations,"Juice WRLD",349837,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob
73,"Ice Cream (with Selena Gomez)",BLACKPINK,348141,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
74,"Adore You","Harry Styles",347836,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
75,goosebumps,"Travis Scott",346677,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
76,"Life Is Good (feat. Drake)",Future,341199,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
77,"Intentions (feat. Quavo)","Justin Bieber",335357,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
78,Righteous,"Juice WRLD",334410,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
79,"More Than My Hometown","Morgan Wallen",332691,https://open.spotify.com/track/0eBXyY4SatzpE7opnzgXvz
80,"hot girl bummer",blackbear,328515,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
81,"Heart Of Glass (Live from the iHeart Music Festival)","Miley Cyrus",326347,https://open.spotify.com/track/5i7ThJfYLAzp2DyZuFpF6j
82,21,"Polo G",324002,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
83,"Are You Bored Yet? (feat. Clairo)",Wallows,323974,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
84,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",321009,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
85,"Chasin' You","Morgan Wallen",320746,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
86,"Sunday Best",Surfaces,319620,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
87,"HIGHEST IN THE ROOM","Travis Scott",317601,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
88,"GO (feat. Juice WRLD)","The Kid LAROI",316879,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
89,"FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX","Travis Scott",315078,https://open.spotify.com/track/6qUabsNxudatEFedWGHoDh
90,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,313245,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
91,"SLOW DANCING IN THE DARK",Joji,312821,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
92,"WHATS POPPIN","Jack Harlow",312118,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
93,"Breaking Me",Topic,311014,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
94,"The Chain - 2004 Remaster","Fleetwood Mac",307918,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU
95,"Levitating (feat. DaBaby)","Dua Lipa",306894,https://open.spotify.com/track/463CkQjx2Zk1yXoBuierM9
96,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",306691,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
97,"Sweater Weather","The Neighbourhood",305180,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
98,"Ballin' (with Roddy Ricch)",Mustard,302974,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
